All,الكل
Not valid cipher method.,طريقة التشفير غير صالحة.
Encryption key can't be empty.,لا يمكن ترك مفتاح التشفير فارغاً.
"Source ""%1"" is not exist","المصدر ""1%"" غير موجود"
"These arguments can't be empty ""%1""","لا يمكن ترك هذه الصيغ فارغة ""1%"""
Cannot find predefined integration user!,لا يمكن العثور على مستخدم دمج معرف مسبقا!
File is not ready yet.,الملف غير جاهز حتى الآن.
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,تم تغيير الرابط الأساسي الخاص بك وجاري الآن تحديث تقاريرك. ستتوفر التقارير المتقدمة حين الانتهاء من التغيير. يرجى المحاولة مرة أخرى لاحقاً.
Failed to synchronize data to the Magento Business Intelligence service.,فشلت مزامنة البيانات مع خدمة ماجنتو لذكاء الأعمال.
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">إعادة المزامنة</a>"
TestMessage,رسالة تجريبية
Apps and Games,تطبيقات وألعاب
Athletic/Sporting Goods,السلع الرياضية
Art and Design,الفن والتصميم
Advanced Reporting,التقارير المتقدمة
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.",اكتسب رؤىً جديدة وتولى قيادة الأداء في أعمالك، باستخدام تقاريرنا الديناميكية للمنتجات والأوامر والزبائن والمصممة لبيانات عملائك.
Go to Advanced Reporting,الانتقال إلى التقارير المتقدمة
Analytics,التحليلات
API,واجهة برمجة التطبيقات (API)
Configuration,الضبط
Business Intelligence,ذكاء الأعمال
BI Essentials,أساسيات الذكاء التجاري
"This service provides a dynamic suite of reports with rich insights about your business.,module,Magento_Analytics
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the,module,Magento_Analytics
""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">,module,Magento_Analytics
terms and conditions</a>.","توفر هذه الخدمة مجموعة تقارير ديناميكية برؤى غنية حول أعمالك.,module,Magento_Analytics
يمكن الوصول إلى تقاريرك بأمان من لوحة يمكن تخصيصها وذلك من خارج لوحة التحكم لمدير النظام عن طريق,module,Magento_Analytics
رابط ""إذهب إلى التقارير المتقدمة"". </br> للمزيد من المعلومات، انظر الرابط,module,Magento_Analytics
<a href=""https://magento.com/legal/terms/cloud-terms"">الشروط والأحكام</a>."
Advanced Reporting Service,خدمة التقارير المتقدمة
Time of day to send data,وقت إرسال البيانات خلال اليوم
Industry,صناعة
"In order to personalize your Advanced Reporting experience, please select your industry.",من أجل تخصيص التقارير المتقدمة الخاصة بك يرجى اختيار مجال تجارتك.
<strong>Get more insights from Magento Business Intelligence</strong>,<strong>احصل على المزيد من الرؤى من ماجنتو لذكاء الأعمال</strong>
"Magento Business Intelligence provides you with a simple and clear path to,module,Magento_Analytics
becoming more data driven.</br> Learn more about <a target=""_blank"",module,Magento_Analytics
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","يزودك ذكاء ما جنتو الصناعي بطريقة بسيطة وواضحة لتكون تجارتك قائمة على الحقائق الإحصائية. <a target=""_blank"" href=""https://dashboard.rjmetrics.com/v2/magento/signup/""> تعلم المزيد عن </a> أساسيات الذكاء التجاري."
Auto Parts,قطع غيار السيارات
"Baby/Children’s Apparel, Gear and Toys",ألعاب وأدوات واكسسوارات الأطفال والمواليد
Beauty and Cosmetics,أدوات التجميل والجمال
"Books, Music and Magazines",الكتب والمجلات والصوتيات
Crafts and Stationery,المشغولات اليدوية والأدوات المكتبية
Consumer Electronics,الأدواتا لكهربائية الإستهلاكية
Deal Site,موقع الصفقة
Fashion Apparel and Accessories,الأزياء والكماليات
"Food, Beverage and Grocery",المأكولات والمشروبات والمواد التموينية
Home Goods and Furniture,الأواني المنزلية والأثاث
Home Improvement,تحسين المنزل
Jewelry and Watches,الساعات والمجوهرات
Mass Merchant,تجارة الجملة
Office Supplies,أدوات مكتبية
Outdoor and Camping Gear,مستلزمات التخييم والرحلات
Pet Goods,مستلزمات تربية الحيوانات
Pharma and Medical Devices,الأدوات الطبية والصيدلية
Technology B2B,التقنية (مورد لمورد)
Other,أخرى
The time value is using an unsupported format. Enter a supported format and try again.,The time value is using an unsupported format. Enter a supported format and try again.
Please select an industry.,Please select an industry.
The data is invalid. Enter the data as a string or data that can be converted into a string and try again.,The data is invalid. Enter the data as a string or data that can be converted into a string and try again.
The data is invalid. Enter the data as a string and try again.,The data is invalid. Enter the data as a string and try again.
The data is invalid. Use a valid cipher method and try again.,The data is invalid. Use a valid cipher method and try again.
Enter the encryption key and try again.,Enter the encryption key and try again.
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
Retry Synchronization,Retry Synchronization
Done,انتهى
Retry,إعادة المحاولة
Action Details - #' .,تفاصيل العملية - #' .
"%1 item(s) have been scheduled for update.""","%1 صنف (أصناف) على جدول التحديث."""
Bulk Actions Log,سجل الإجراءات
Bulk uuid %bulkUuid not exist,Bulk uuid %bulkUuid not exist
Topic %1,Topic %1
Something went wrong while processing the request.,حدث خطأ أثناء معالجة الطلب.
Error processing %key element of input data,Error processing %key element of input data
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
%1 item(s) are currently being updated.,يجري حاليا تحديث %1 صنف (أصناف).
"Task ""%1"": ","المهمة ""%1"": "
%1 item(s) have been scheduled for update.,%1 صنف (أصناف) على جدول التحديث.
%1 item(s) have been successfully updated.,%1 تم تحديث صنف (أصناف).
%1 item(s) failed to update,فشل تحديث %1 صنف (أصناف)
Details,التفاصيل
View Details,عرض التفاصيل
Dismiss,استبعاد
"Pending, in queue...",معلقة، في انتظار...
%1 items selected for mass update,%1 أصناف محددة لتحديث شامل
", %1 successfully updated",تم تحديث %1 بنجاح
", %1 failed to update",لم يتم تحديث %1
Something went wrong.,حدث خطأ ما.
Action Log,سجل الإجراءات
Report,تقرير
Bulk Actions,مجموعة إجراءات
Action Logs,Action Logs
Days Saved in Log,أيام محفوظة في سجل
Description of Operation,وصف العملية
Summary,خلاصة
Start Time,زمن البداية
Items to Retry,أصناف لإعادة المحاولة
"To retry, select the items and click “Retry”.","لإعادة المحاولة، قم بتحديد الأصناف والنقر فوق ""إعادة المحاولة""."
Items That Can’t Be Updated.,الأصناف التي لا يمكن تحديثها.
Status,الحاله
Meta Information,المعلومات الوصفية
Error,خطأ
Dismiss All Completed Tasks,إستبعاد جميع المهام المكتملة
Action Details - #,تفاصيل العملية - #
Number of Records Affected,عدد السجلات التي تأثرت
We can't find the role for the user you wanted.,لا يمكننا الوصول للمستخدم الذي طلبته
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,حدث خطأ أثناء تجميع قائمة من الموارد المسموح بها. يمكنك العثور على مزيد من المعلومات في سجل الاستثناءات.
The role wasn't found for the user. Verify the role and try again.,The role wasn't found for the user. Verify the role and try again.
You created the order.,قمت بإنشاء الطلب.
Order saving error: %1,أمر حفظ الخطأ: %1
Please choose a payment method.,الرجاء اختيار طريقة الدفع.
We can't process your order right now. Please try again later.,لا يمكننا معالجة طلبك الآن. الرجاء المحاولة مرة أخرى لاحقاً.
An error occurred on the server. Please try to place the order again.,حدث خطأ في الخادوم. الرجاء محاولة وضع الطلب مرة أخرى.
Credit Card: xxxx-%1,كارت ائتماني: xxxx-%1
amount %1,%1 كمية
failed.,فشل.
successful.,تم بنجاح.
Authorize.Net Transaction ID %1.,رقم معاملة Authorize.Net %1.
authorize,التصريح
authorize and capture,التحقق و القبض
capture,التقاط
refund,اعادة المبلغ المدفوع
void,الفراغ
Gateway error: %1,خطأ في البوابة: %1
Something went wrong in the payment gateway.,حدث خطأ في بوابة الدفع.
Invalid amount for capture.,المبلغ غير صالح للقبض.
Payment capturing error.,خطأ في قبض الدفعة.
Invalid transaction ID.,رمز تعريف عملية الدفع غير موجود.
Payment voiding error.,خطأ في الغاء الدفعة.
Invalid amount for refund.,المبلغ غير قابل لاسترداده.
Payment refunding error.,خطأ في استرداد المبلغ.
The transaction was declined because the response hash validation failed.,تم رفض عملية الدفع نظراً لفشل التحقق من تجزئة الاستجابة.
This payment didn't work out because we can't find this order.,عملية الدفع لم تنجح لاننا لم نستطع ايجاد هذا الطلب.
There was a payment authorization error.,خطأ في إذن الدفع.
Please enter a transaction ID to authorize this payment.,الرجاء إدخال رمز التعريف الخاص بعملية الدفع للسماح باتمام العملية.
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,حدث خطأ: المبلغ المدفوع لا يتطابق مع كمية الطلبية. الرجاء تصحيح هذه المشكلة ثم حاول مرة أخرى.
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","تم الموافقة على العملية  %1.القيمة %2. حالة العملية هي ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","تم رفض العملية %1.الحالة هي ""%2"".القيمة هي %3."
Authorize Only,المصرح فقط
Unable to get transaction details. Try again later.,غير قادر على الحصول على تفاصيل الصفقة. حاول مرة أخرى لاحقاً.
Electronic payments save the trees.,المدفوعات الإلكترونية صديقة للبيئة.
Credit Card Type,نوع بطاقة الائتمان
Credit Card Number,رقم بطاقة الائتمان
Expiration Date,تاريخ انتهاء الصلاحية
Card Verification Number,رقم التحقق من البطاقة
Fraud Detection,الكشف عن حالات الغش
FDS Filter Action,إجراء تصفية FDS
AVS Response,رد AVS
Card Code Response,استجابة شفرة البطاقة
CAVV Response,استجابة CAVV
Fraud Filters,مانع الاحتيال.
Place Order,إنشاء الطلب
"Sorry, but something went wrong. Please contact the seller.",آسف، ولكن حدث شيء خاطئ خاطئ. الرجاء الاتصال بالبائع.
Authorize.net Direct Post,نشر مباشر Authorize.net
Enabled,تفعيل
Payment Action,فعل الدفع
Title,العنوان
API Login ID,API اسم المستخدم
Transaction Key,مفتاح عملية الدفع
Merchant MD5,تاجر MD5
New Order Status,حالة طلب جديدة
Test Mode,وضع الاختبار
Gateway URL,رابط البوابة
Transaction Details URL,رابط تفاصيل عملية الدفع
Accepted Currency,العملات المقبولة
Debug,نقح
Email Customer,البريد الإلكتروني للعميل
Merchant's Email,البريد الإلكتروني للتاجر
Credit Card Types,أنواع بطاقة الائتمان
Credit Card Verification,التحقق من البطاقة الائتمانية
Payment from Applicable Countries,الدفع من البلدان المطبقة
Payment from Specific Countries,الدفع من بلدان معينة
Minimum Order Total,إجمالي الحد الأدنى للطلب
Maximum Order Total,إجمالي الحد الأعلى للطلب
Sort Order,الترتيب
Cannot place order.,لا يمكن وضع أمر شراء.
Gateway error: ' .,Gateway error: ' .
